REACH_ID,LENGTH_M,AREA_SQKM,SPRAG14HAB,AC_WIDTH,AC_HEIGHT,SPRAG14RCH,ACW,ACH,MaskWidth
19661,29.54419,10.5743,609,0,0,10,4,0.5,0
19662,30.53092,10.5697,609,0,0,10,4,0.5,0
19663,30.18824,10.5605,611,0,0,10,4,0.5,0
19664,30.48137,10.553,614,0,0,10,4,0.5,0
19665,29.47416,10.5371,616,4,0.6,10,4,0.5,0
19666,29.24188,10.5274,616,4,0.6,10,4,0.5,0
19667,29.7021,10.5225,618,0,0,10,4,0.5,0
19668,30.25215,10.4751,620,0,0,10,4,0.5,0
19669,30.22032,10.4649,620,0,0,10,4,0.5,0
19670,30.85248,10.4593,621,0,0,10,4,0.5,0
19671,30.97349,10.4458,623,0,0,10,4,0.5,0
19672,30.81304,10.4403,627,0,0,10,4,0.5,0
19673,30.13832,10.4174,629,0,0,10,4,0.5,0
19674,30.34251,10.3403,631,0,0,10,4,0.5,0
19675,29.79346,10.3327,631,0,0,10,4,0.5,0
19676,29.96447,10.3177,632,0,0,10,4,0.5,0
19677,29.77927,10.2827,633,0,0,10,4,0.5,0
19678,30.32116,10.2683,634,0,0,10,4,0.5,0
19679,30.52752,10.261,636,3.5,0.3,10,4,0.5,0
19680,30.67254,10.2352,636,3.5,0.3,10,4,0.5,0
19681,31.14074,10.2182,638,0,0,10,4,0.5,0
19682,30.27533,10.1942,638,0,0,10,4,0.5,0
19683,29.19292,10.1848,638,0,0,10,4,0.5,0
19684,28.97249,10.18,638,0,0,10,4,0.5,0
19685,29.5121,9.5058,640,0,0,10,4,0.5,0
19686,30.04041,9.4919,640,0,0,10,4,0.5,0
19687,29.7596,9.474,641,0,0,10,4,0.5,0
19688,29.23451,9.4707,642,0,0,10,4,0.5,0
19689,30.43549,9.4621,644,0,0,11,3.9000001,0.3,0
19690,29.09923,9.4605,646,4,0.4,11,3.9000001,0.3,0
19691,29.34517,9.4591,647,0,0,11,3.9000001,0.3,0
19692,29.92024,9.4472,650,0,0,11,3.9000001,0.3,0
19693,29.55924,9.4431,651,0,0,11,3.9000001,0.3,0
19694,30.91529,9.437,651,0,0,11,3.9000001,0.3,0
19695,29.02615,9.4303,651,0,0,11,3.9000001,0.3,0
19696,30.37408,9.4257,655,0,0,11,3.9000001,0.3,0
19697,31.03586,9.4219,655,0,0,11,3.9000001,0.3,0
19698,29.04429,9.4069,657,0,0,11,3.9000001,0.3,0
19699,30.07144,9.3934,657,0,0,11,3.9000001,0.3,0
19700,30.01677,9.383,657,0,0,11,3.9000001,0.3,0
19701,30.91041,9.3797,657,0,0,11,3.9000001,0.3,0
19702,29.79531,9.3686,659,0,0,11,3.9000001,0.3,0
19703,29.64642,9.3649,659,0,0,11,3.9000001,0.3,0
19704,28.86749,9.1624,659,0,0,11,3.9000001,0.3,0
19705,30.72187,9.0896,661,0,0,11,3.9000001,0.3,0
19706,30.30301,9.0875,661,0,0,11,3.9000001,0.3,0
19707,29.85836,9.077,661,0,0,11,3.9000001,0.3,0
19708,29.50318,9.0697,661,0,0,11,3.9000001,0.3,0
19709,28.97552,9.0674,663,0,0,11,3.9000001,0.3,0
19710,29.66414,9.0343,664,0,0,11,3.9000001,0.3,0
19711,30.0833,9.0117,665,0,0,11,3.9000001,0.3,0
19712,30.35225,8.9951,665,0,0,11,3.9000001,0.3,0
19713,30.10591,8.9935,667,0,0,12,3.8,0.4,0
19714,30.86571,8.7918,667,0,0,,,,0
19715,31.02713,8.7897,668,0,0,,,,0
19716,29.78035,8.7884,670,0,0,,,,0
19717,29.55664,8.7871,673,0,0,,,,0
19718,29.60096,5.7267,673,0,0,,,,0
19719,29.08181,5.7253,675,0,0,,,,0
19720,29.75338,5.722,676,6,0.5,,,,0
19721,30.09237,5.6733,676,6,0.5,,,,0
19722,29.68432,5.6656,678,0,0,,,,0
19723,30.69405,5.6628,678,0,0,,,,0
19724,29.48728,5.6585,680,0,0,,,,0
19725,30.16232,5.6527,680,0,0,,,,0
19726,30.15088,5.6393,680,0,0,,,,0
19727,29.09578,5.6247,680,0,0,,,,0
19728,30.0093,5.613,682,0,0,,,,0
19729,30.42363,5.6057,682,0,0,,,,0
19730,29.17771,5.599,682,0,0,,,,0
19731,29.54051,5.5901,682,0,0,,,,0
19732,29.86432,5.5836,684,0,0,,,,0
19733,30.07037,5.5743,689,0,0,,,,0
19734,29.63025,5.5586,689,0,0,,,,0
19735,29.79124,5.5466,689,0,0,,,,0
19736,30.35385,5.5326,691,0,0,,,,0
19737,28.88061,5.5212,691,0,0,,,,0
19738,30.75347,5.4869,693,0,0,,,,0
19739,29.08106,5.4784,693,0,0,,,,0
19740,30.49637,5.4694,695,0,0,,,,0
19741,29.95978,5.3719,697,0,0,,,,0
19742,29.77421,5.3659,699,0,0,,,,0
19743,30.9693,5.358,701,0,0,,,,0
19744,30.56037,5.3563,703,0,0,,,,0
19745,29.12517,5.3504,705,0,0,,,,0
19746,30.55199,5.3294,706,3.8,0.4,,,,0
19747,30.15273,5.3273,706,3.8,0.4,12,3.8,0.4,0
19748,30.14177,5.3243,706,3.8,0.4,12,3.8,0.4,0
19749,30.76656,5.3222,706,3.8,0.4,12,3.8,0.4,0
19750,29.29763,5.1404,706,3.8,0.4,12,3.8,0.4,0
19751,31.02806,5.1333,706,3.8,0.4,12,3.8,0.4,0
19752,29.06289,5.1324,711,0,0,12,3.8,0.4,0
19753,30.97652,5.1282,711,0,0,12,3.8,0.4,0
19754,30.67498,5.1218,714,0,0,12,3.8,0.4,0
19755,30.58485,5.1188,716,3.5,0.4,12,3.8,0.4,0
19756,29.82292,5.1051,718,0,0,12,3.8,0.4,0
19757,30.85586,5.0831,718,0,0,12,3.8,0.4,0
19758,30.59786,5.0729,718,0,0,12,3.8,0.4,0
19759,30.60847,5.068,720,0,0,12,3.8,0.4,0
19760,29.2612,5.0421,721,0,0,12,3.8,0.4,0
19761,30.73952,5.0387,721,0,0,12,3.8,0.4,0
19762,29.73064,5.0332,721,0,0,12,3.8,0.4,0
19763,29.85462,5.0312,722,0,0,12,3.8,0.4,0
19764,29.08008,5.0223,724,0,0,12,3.8,0.4,0
19765,29.20617,5.0162,726,3.5,0.4,12,3.8,0.4,0
19766,30.21513,4.9805,728,0,0,12,3.8,0.4,0
19767,29.78179,4.9756,730,0,0,12,3.8,0.4,0
19768,29.69001,4.9724,730,0,0,12,3.8,0.4,0
19769,30.57187,4.964,730,0,0,12,3.8,0.4,0
19770,29.0415,4.9618,732,0,0,12,3.8,0.4,0
19771,29.2524,4.9493,734,0,0,12,3.8,0.4,0
19772,30.09262,4.7495,735,0,0,12,3.8,0.4,0
19773,30.84505,4.7447,735,0,0,12,3.8,0.4,0
19774,29.71723,4.7395,737,0,0,12,3.8,0.4,0
19775,31.29902,4.733,739,0,0,12,3.8,0.4,0
19776,30.57289,4.727,741,0,0,12,3.8,0.4,0
19777,31.34372,4.7242,743,0,0,12,3.8,0.4,0
19778,29.36572,4.6237,745,0,0,12,3.8,0.4,0
19779,30.04011,4.6196,745,0,0,12,3.8,0.4,0
19780,29.99987,4.6164,745,0,0,12,3.8,0.4,0
19781,30.89646,4.6127,747,0,0,12,3.8,0.4,0
19782,29.41207,4.6099,747,0,0,12,3.8,0.4,0
19783,29.26299,4.5982,748,0,0,12,3.8,0.4,0
19784,29.78255,4.5948,750,0,0,12,3.8,0.4,0
19785,29.79998,4.5895,750,0,0,12,3.8,0.4,0
19786,30.63349,4.5816,751,0,0,12,3.8,0.4,0
19787,30.78038,4.568,756,3.2,0.4,12,3.8,0.4,0
19788,30.60108,4.5509,756,3.2,0.4,12,3.8,0.4,0
19789,30.84956,4.5447,759,0,0,12,3.8,0.4,0
